estacion,lat,lon,fecha,year,month,day,day_of_year,precip,tmax,tmin_lag_1,tmin_lag_2,tmin_lag_3,tmin_pred,prob_helada,helada_pred
ANANEA,-14.68,-69.53,2026-06-03,2026,6,3,154,0.0,13.0,-3.5,-3.6,-3.6,-4.6,0.95,1.0
ARAPA,-15.14,-70.12,2026-06-03,2026,6,3,154,0.0,16.0,-4.0,-3.0,-2.4,-4.63,0.95,1.0
AZANGARO,-14.91,-70.19,2026-06-03,2026,6,3,154,0.0,18.2,-3.6,-4.1,-5.2,-5.34,0.95,1.0
COJATA,-15.02,-69.49,2026-06-03,2026,6,3,154,0.0,15.2,-6.5,-6.0,-7.3,-8.32,0.95,1.0
CAPAZO,-17.17,-69.75,2026-06-03,2026,6,3,154,0.0,13.6,-10.8,-11.0,-14.8,-15.58,0.95,1.0
CRUCERO,-14.36,-70.02,2026-06-03,2026,6,3,154,0.0,15.7,-9.2,-8.5,-8.0,-10.68,0.95,1.0
PIZACOMA,-16.91,-69.36,2026-06-03,2026,6,3,154,0.0,16.4,-8.8,-11.8,-8.0,-12.9,0.95,1.0
SANTA ROSA,-14.61,-70.78,2026-06-03,2026,6,3,154,0.0,17.8,-5.6,-6.8,-8.4,-8.13,0.95,1.0
PUTINA,-14.91,-69.87,2026-06-03,2026,6,3,154,0.0,18.2,-5.4,-3.7,-3.5,-5.87,0.95,1.0
PUCARA,-15.04,-70.36,2026-06-03,2026,6,3,154,0.0,18.2,-4.0,-5.2,-5.4,-6.09,0.95,1.0
LAMPA,-15.36,-70.36,2026-06-03,2026,6,3,154,0.0,19.4,-6.6,-5.8,-6.8,-8.36,0.95,1.0
MAZO CRUZ,-16.75,-69.71,2026-06-03,2026,6,3,154,,,-6.4,-5.4,-2.6,-7.78,0.95,1.0
ILAVE,-16.08,-69.46,2026-06-03,2026,6,3,154,0.0,17.0,-2.6,-2.8,-4.4,-4.66,0.95,1.0
CRUCERO ALTO,-15.77,-71.01,2026-06-03,2026,6,3,154,,13.0,-2.0,-2.6,-5.4,-4.32,0.9317,1.0
DESAGUADERO,-16.56,-69.04,2026-06-03,2026,6,3,154,0.0,14.5,-2.4,-1.3,-2.3,-3.74,0.874,1.0
TAHUACO - YUNGUYO,-16.24,-69.09,2026-06-03,2026,6,3,154,0.0,14.8,-3.2,-1.2,-1.0,-3.71,0.8712,1.0
JULI,-16.21,-69.46,2026-06-03,2026,6,3,154,0.0,13.6,-2.8,-1.4,-0.4,-3.39,0.8385,1.0
PAMPAHUTA,-15.54,-70.32,2026-06-03,2026,6,3,154,0.0,14.2,-0.8,-4.2,-2.2,-3.29,0.829,1.0
HUARAYA MOHO,-15.36,-69.5,2026-06-03,2026,6,3,154,0.0,18.2,-1.8,-1.4,-1.8,-2.7,0.7696,1.0
CAPACHICA,-15.64,-69.83,2026-06-03,2026,6,3,154,0.0,17.4,0.2,-0.2,-3.2,-1.54,0.654,1.0
CABANILLAS,-15.64,-70.35,2026-06-03,2026,6,3,154,0.0,18.0,0.8,0.4,-1.6,-0.58,0.558,1.0
CHUQUIBAMBILLA,-14.79,-70.72,2026-06-03,2026,6,3,154,,,-2.0,2.5,3.5,0.15,0.2855,0.0
CUYO CUYO,-14.5,-69.54,2026-06-03,2026,6,3,154,0.0,15.4,1.4,1.2,1.6,1.41,0.1594,0.0
ISLA SUANA,-16.35,-68.88,2026-06-03,2026,6,3,154,0.0,15.2,1.8,2.2,4.0,1.66,0.1343,0.0
AYAVIRI,-14.88,-70.59,2026-06-03,2026,6,3,154,1.8,17.0,2.4,2.0,3.4,2.54,0.01,0.0
ISLA TAQUILE,-15.77,-69.68,2026-06-03,2026,6,3,154,0.0,,5.5,5.0,4.5,5.3,0.01,0.0
HUANCANE,-15.21,-69.76,2026-06-03,2026,6,3,154,,,2.0,2.8,4.6,2.71,0.01,0.0
MUÑANI,-14.77,-69.95,2026-06-03,2026,6,3,154,3.0,17.4,5.0,4.2,3.8,5.04,0.01,0.0
PUNO,-15.84,-70.02,2026-06-03,2026,6,3,154,0.0,15.6,6.0,5.2,5.4,5.85,0.01,0.0
