Fecha,T2M,T2M_MIN,T2M_MAX
2023-05-01,9.27,2.8,16.35
2023-05-02,10.45,5.35,17.85
2023-05-03,9.54,5.37,14.45
2023-05-04,9.2,2.97,15.67
2023-05-05,7.54,2.48,15.34
2023-05-06,5.88,2.07,13.37
2023-05-07,4.98,1.59,8.08
2023-05-08,5.61,2.31,9.52
2023-05-09,4.82,1.75,8.38
2023-05-10,7.7,3.42,13.76
2023-05-11,6.69,2.38,11.42
2023-05-12,5.57,2.74,9.31
2023-05-13,5.72,1.67,11.73
2023-05-14,6.85,1.7,13.79
2023-05-15,8.47,2.5,16.45
2023-05-16,7.27,-1.79,16.26
2023-05-17,7.24,-1.23,17.61
2023-05-18,7.26,-0.08,15.74
2023-05-19,9.27,4.49,15.63
2023-05-20,8.31,1.02,16.57
2023-05-21,6.94,-0.15,16.44
2023-05-22,6.79,-2.84,15.91
2023-05-23,7.23,0.4,16.33
2023-05-24,6.49,-1.29,14.77
2023-05-25,7.84,0.86,15.55
2023-05-26,7.91,2.43,14.11
2023-05-27,7.44,4.32,12.41
2023-05-28,7.47,2.79,12.84
2023-05-29,5.92,-1.15,14.98
2023-05-30,5.42,-3.43,14.73
2023-05-31,6.57,1.13,14.03
2023-06-01,7.08,1.19,14.51
2023-06-02,6.84,0.04,15.35
2023-06-03,6.26,-1.5,14.84
2023-06-04,6.29,0.25,14.5
2023-06-05,6.51,2.54,12.97
2023-06-06,7.58,0.56,15.7
2023-06-07,6.08,-1.69,14.54
2023-06-08,7.49,2.49,15.21
2023-06-09,7.2,0.99,15.14
2023-06-10,6.68,-0.33,15.3
2023-06-11,5.93,-1.47,15.35
2023-06-12,5.81,-1.25,15.83
2023-06-13,5.1,-2.4,16.19
2023-06-14,3.14,-4.05,13.65
2023-06-15,3.34,-3.83,14.1
2023-06-16,3.96,-3.58,14.29
2023-06-17,4.41,-1.32,12.5
2023-06-18,5.82,-1.04,14.01
2023-06-19,4.78,-1.89,14.24
2023-06-20,5.26,-2.36,14.4
2023-06-21,4.7,-2.34,14.29
2023-06-22,4.43,-2.02,13.64
2023-06-23,4.59,-2.37,12.89
2023-06-24,5.61,-0.32,13.61
2023-06-25,5.64,0.89,13.05
2023-06-26,6.15,-0.9,14.14
2023-06-27,6.46,0.04,14.4
2023-06-28,6.34,1.64,13.61
2023-06-29,6.6,2.25,13.65
2023-06-30,6.85,1.65,14.09
2023-07-01,7.42,1.43,15.25
2023-07-02,6.88,-1.35,16.01
2023-07-03,7.54,0.91,15.88
2023-07-04,8.13,-0.57,18.08
2023-07-05,7.31,-0.15,16.91
2023-07-06,7.12,-2.05,17.13
2023-07-07,7.18,-1.69,17.42
2023-07-08,7.3,-1.31,16.94
2023-07-09,7.94,3.71,15.42
2023-07-10,9.24,4.09,16.31
2023-07-11,8.1,0.61,17.08
2023-07-12,6.74,-0.9,16.14
2023-07-13,7.25,-0.66,16.08
2023-07-14,7.33,-0.18,16.92
2023-07-15,6.2,-1.72,16.53
2023-07-16,6.89,-1.45,15.53
2023-07-17,6.97,-0.75,15.16
2023-07-18,7.2,1.83,15.19
2023-07-19,7.74,2.39,15.29
2023-07-20,6.8,-0.13,14.75
2023-07-21,6.53,0.6,14.37
2023-07-22,8.17,-0.23,16.57
2023-07-23,7.62,0.95,15.26
2023-07-24,8.02,1.24,16.63
2023-07-25,6.2,-1.91,16.48
2023-07-26,2.75,-6.03,11.29
2023-07-27,2.96,-4.14,12.09
2023-07-28,4.33,-3.23,12.75
2023-07-29,4.25,0.26,10.91
2023-07-30,5.32,0.47,11.31
2023-07-31,5.98,0.6,12.5
2023-08-01,5.12,0.63,11.74
2023-08-02,5.97,1.66,12.99
2023-08-03,5.91,1.2,12.3
2023-08-04,5.62,1.2,12.61
2023-08-05,6.44,0.63,13.56
2023-08-06,7.13,0.15,13.79
2023-08-07,7.15,1.9,13.42
2023-08-08,7.99,1.26,15.78
2023-08-09,7.2,0.49,14.51
2023-08-10,6.96,-1.57,15.6
2023-08-11,6.86,2.41,12.88
2023-08-12,5.7,2.66,10.68
2023-08-13,5.83,1.38,12.1
2023-08-14,5.43,0.63,12.28
2023-08-15,6.59,0.79,13.43
2023-08-16,7.67,0.46,15.15
2023-08-17,8.18,0.15,17.94
2023-08-18,6.3,-2.76,17.9
2023-08-19,5.97,-3.03,17.32
2023-08-20,6.52,-2.66,16.91
2023-08-21,6.19,-1.86,14.87
2023-08-22,7.55,0.94,15.59
2023-08-23,9.69,4.02,17.75
2023-08-24,8.69,1.9,16.94
2023-08-25,8.63,-0.88,17.83
2023-08-26,8.95,3.49,16.0
2023-08-27,9.14,1.3,17.08
2023-08-28,8.36,-0.55,17.97
2023-08-29,8.21,-0.47,17.0
2023-08-30,10.05,5.07,16.24
2023-08-31,9.64,4.54,16.7
