station,elevation,date,T2M_MIN,T2M_MAX,T2M_RANGE,RH2M,WS2M,PS,PRECTOTCORR,frost
Puno,3825,2000-01-01,11.5,25.17,13.67,61.9,6.35,63.22,0.008,0
Puno,3825,2000-01-02,9.91,17.57,7.67,84.3,5.9,63.46,0.021,0
Puno,3825,2000-01-03,11.83,19.85,8.02,69.5,1.88,62.82,0.008,0
Puno,3825,2000-01-04,14.01,24.65,10.65,76.2,6.14,62.87,0.016,0
Puno,3825,2000-01-05,9.62,18.72,9.1,60.6,0.0,63.62,0.001,0
Puno,3825,2000-01-06,9.63,26.04,16.41,72.2,4.51,61.9,0.0,0
Puno,3825,2000-01-07,14.2,23.95,9.75,84.5,4.25,61.75,0.0,0
Puno,3825,2000-01-08,12.14,23.32,11.18,61.9,6.03,63.22,0.0,0
Puno,3825,2000-01-09,9.03,21.95,12.92,69.6,4.34,61.03,0.044,0
Puno,3825,2000-01-10,11.48,24.38,12.9,48.2,2.96,61.36,0.004,0
Puno,3825,2000-01-11,8.91,19.91,11.0,57.5,3.14,64.85,0.002,0
Puno,3825,2000-01-12,8.87,18.79,9.93,63.6,9.43,64.59,0.001,0
Puno,3825,2000-01-13,10.63,26.71,16.08,53.0,3.68,62.47,0.005,0
Puno,3825,2000-01-14,5.18,15.35,10.16,88.1,4.81,64.04,0.005,0
Puno,3825,2000-01-15,5.64,14.88,9.24,57.8,0.0,64.08,0.023,0
Puno,3825,2000-01-16,8.5,17.2,8.7,79.7,1.68,63.51,0.051,0
Puno,3825,2000-01-17,7.32,13.03,5.71,71.8,4.64,62.96,0.004,0
Puno,3825,2000-01-18,10.6,23.48,12.88,68.7,0.0,63.67,0.0,0
Puno,3825,2000-01-19,7.49,11.52,4.04,90.1,4.71,63.84,0.266,0
Puno,3825,2000-01-20,6.16,16.79,10.63,38.1,1.9,63.68,0.013,0
Puno,3825,2000-01-21,13.26,23.36,10.1,65.0,1.23,61.49,0.082,0
Puno,3825,2000-01-22,8.97,25.95,16.98,54.0,1.9,65.08,0.058,0
Puno,3825,2000-01-23,9.63,15.24,5.61,41.5,6.86,65.45,0.03,0
